city;postalcode;latitude;longitude
Vejle;7100;55.7000057;9.5333238
Andkær;7080;55.6654294;9.6286003
Bredal;7120;55.7461966;9.6414525
Bredsten;7182;55.7019196;9.3856982
Brejning;7080;55.6637885;9.6697145
Børkop;7080;55.6409641;9.6492103
Egtved;6040;55.6145534;9.3084064
Gadbjerg;7321;55.7703672;9.3268776
Give;7323;55.845552;9.2401542
Givskud;7323;55.8160423;9.3496474
Gravens/Ågård;6040;55.5932907;9.4375726
Grejs;7100;55.7624622;9.5451492
Gårslev;7080;55.6373347;9.6926056
Jelling;7300;55.7511085;9.4158456
Jerlev;7100;55.6706173;9.4362667
Ny Højen;7100;55.6563528;9.5018797
Nørup;7182;55.719176;9.304447
Skibet;7100;55.7068501;9.441914
Skærup;7080;55.6390454;9.5991028
Smidstrup;7000;55.6125256;9.5670049
Thyregod;7323;55.907716;9.2580032
Vandel;7184;55.7089966;9.2106632
Vonge;7173;55.8609401;9.4194313
Ødsted;7100;55.6563626;9.3990009
