"","yearmonth","quarter","year","city","female1","female2","female3","female4","female5","female6","female7","female8","totalfemale","male1","male2","male3","male4","male5","male6","male7","male8","totalmale","totalcitypop"
"1","2015-03",1,2015,"Vejle",830,937,3350,2990,5012,8980,4107,1569,27775,921,956,3480,3017,5316,8658,3505,897,26750,54525
"2","2015-03",1,2015,"Andkær",6,6,24,10,29,67,10,2,154,3,7,32,15,24,65,18,4,168,322
"3","2015-03",1,2015,"Bredal",16,13,57,13,58,108,33,7,305,8,25,68,22,46,119,26,5,319,624
"4","2015-03",1,2015,"Bredsten",21,33,154,60,114,286,112,58,838,20,29,172,72,101,292,107,36,829,1667
"5","2015-03",1,2015,"Brejning",37,44,210,98,198,534,212,47,1380,43,55,237,124,173,530,226,33,1421,2801
"6","2015-03",1,2015,"Børkop",95,122,441,170,474,815,385,111,2613,130,165,478,157,437,765,323,82,2537,5150
"7","2015-03",1,2015,"Egtved",29,31,140,74,167,369,223,139,1172,24,38,167,77,177,384,202,75,1144,2316
"8","2015-03",1,2015,"Gadbjerg",14,19,59,18,62,122,45,28,367,16,11,48,20,78,126,59,14,372,739
"9","2015-03",1,2015,"Give",66,81,281,173,329,767,463,225,2385,61,67,321,192,334,721,380,145,2221,4606
"10","2015-03",1,2015,"Givskud",12,13,39,26,46,95,51,19,301,14,9,44,25,57,106,53,13,321,622
"11","2015-03",1,2015,"Gravens/Ågård",22,21,87,43,87,233,94,36,623,14,25,128,66,86,239,90,23,671,1294
"12","2015-03",1,2015,"Grejs",19,26,105,41,64,189,80,14,538,20,25,108,35,69,173,67,12,509,1047
"13","2015-03",1,2015,"Gårslev",23,13,81,42,84,187,90,21,541,16,36,89,40,76,191,98,16,562,1103
"14","2015-03",1,2015,"Jelling",43,52,281,168,254,557,264,121,1740,47,73,284,179,214,581,217,70,1665,3405
"15","2015-03",1,2015,"Jerlev",14,15,55,23,61,114,54,9,345,13,17,40,29,63,117,56,5,340,685
"16","2015-03",1,2015,"Ny Højen",6,10,63,28,53,125,53,16,354,15,21,57,33,49,115,62,8,360,714
"17","2015-03",1,2015,"Nørup",7,12,60,28,54,121,56,16,354,19,14,47,34,52,118,55,11,350,704
"18","2015-03",1,2015,"Skibet",36,40,206,76,149,372,149,14,1042,24,49,218,79,119,350,144,13,996,2038
"19","2015-03",1,2015,"Skærup",10,12,34,21,39,98,40,4,258,16,11,24,23,38,94,44,1,251,509
"20","2015-03",1,2015,"Smidstrup",8,16,64,26,67,119,36,36,372,9,19,73,28,63,130,35,16,373,745
"21","2015-03",1,2015,"Thyregod",19,30,114,61,120,212,87,46,689,29,26,96,59,129,228,87,28,682,1371
"22","2015-03",1,2015,"Vandel",16,9,54,34,64,130,50,18,375,15,11,49,40,72,135,57,11,390,765
"23","2015-03",1,2015,"Vonge",8,6,49,27,52,99,45,10,296,11,7,32,32,52,119,40,5,298,594
"24","2015-03",1,2015,"Ødsted",21,31,115,50,132,235,99,30,713,32,40,118,55,114,257,96,18,730,1443
"25","2015-06",2,2015,"Vejle",809,943,3371,2975,5027,8993,4131,1561,27810,933,969,3490,3030,5346,8666,3512,891,26837,54647
"26","2015-06",2,2015,"Andkær",4,7,21,12,30,65,11,2,152,3,6,32,17,25,65,17,5,170,322
"27","2015-06",2,2015,"Bredal",14,15,58,11,59,110,33,7,307,8,22,71,20,50,117,26,5,319,626
"28","2015-06",2,2015,"Bredsten",21,33,152,52,111,289,115,58,831,20,26,172,70,95,292,112,35,822,1653
"29","2015-06",2,2015,"Brejning",40,43,208,99,205,531,218,48,1392,39,61,239,112,183,537,223,34,1428,2820
"30","2015-06",2,2015,"Børkop",91,119,449,174,473,820,391,114,2631,127,166,490,162,435,772,331,82,2565,5196
"31","2015-06",2,2015,"Egtved",28,31,137,67,166,363,228,141,1161,24,36,162,78,171,388,203,75,1137,2298
"32","2015-06",2,2015,"Gadbjerg",16,16,60,18,61,121,47,25,364,16,12,48,19,77,130,58,17,377,741
"33","2015-06",2,2015,"Give",66,82,284,181,331,770,461,232,2407,62,71,318,201,330,722,386,138,2228,4635
