month;quarter;year;city;female1;female2;female3;female4;female5;female6;female7;female8;totalfemale;male1;male2;male3;male4;male5;male6;male7;male8;totalmale;totalcitypop
jun-15;2;2015;Andkær;4;7;22;12;30;65;11;2;153;3;6;32;17;25;65;17;5;170;323
jun-15;2;2015;Assendrup;;;9;7;9;28;16;2;71;;;17;12;12;28;17;4;90;161
jun-15;2;2015;Bredal;14;15;58;11;59;110;33;7;307;8;22;71;21;50;119;26;5;322;629
jun-15;2;2015;Bredsten;21;33;152;52;110;289;115;58;830;20;26;171;69;94;292;112;35;819;1649
jun-15;2;2015;Brejning/Kellers Park;39;39;203;97;204;522;207;45;1356;39;60;236;109;175;522;218;32;1391;2747
jun-15;2;2015;Børkop;91;119;448;174;472;820;390;114;2628;127;165;490;162;436;770;330;81;2561;5189
jun-15;2;2015;Egtved;28;31;137;66;165;363;225;141;1156;24;36;162;78;171;388;202;75;1136;2292
jun-15;2;2015;Engum;1;;6;5;6;23;4;3;48;2;2;11;8;7;24;5;2;61;109
jun-15;2;2015;Gadbjerg;17;17;57;18;58;116;47;25;355;16;9;45;19;75;126;56;17;363;718
jun-15;2;2015;Give;66;81;283;178;328;763;451;192;2342;62;71;315;197;329;716;376;123;2189;4531
jun-15;2;2015;Givskud;12;14;35;30;44;99;53;18;305;14;9;45;23;58;107;54;13;323;628
jun-15;2;2015;Gl. Højen;1;2;6;3;7;13;5;;37;1;2;6;2;10;10;6;1;38;75
jun-15;2;2015;Gravens/Ågård;22;19;86;45;84;233;94;36;619;15;25;131;63;85;244;92;24;679;1298
jun-15;2;2015;Grejs;21;23;105;41;66;182;83;13;534;20;26;107;39;68;169;66;13;508;1042
jun-15;2;2015;Gårslev;20;15;79;47;84;187;93;21;546;12;34;89;40;74;190;99;15;553;1099
jun-15;2;2015;Hornstrup Mølleby;1;;4;3;9;15;8;1;41;3;2;7;4;5;20;8;;49;90
jun-15;2;2015;Jelling;42;50;283;174;250;549;268;123;1739;46;66;277;184;206;575;224;70;1648;3387
jun-15;2;2015;Jerlev;14;13;58;24;58;119;54;10;350;14;17;41;32;61;116;57;5;343;693
jun-15;2;2015;Kirkeby;2;1;8;2;9;22;10;1;55;2;2;8;4;10;22;12;;60;115
jun-15;2;2015;Langelund-Grønbjerg;3;7;21;13;22;60;20;;146;4;5;21;16;29;66;25;3;169;315
jun-15;2;2015;Nr. Vilstrup;2;7;21;8;19;41;29;3;130;5;3;15;5;16;44;24;2;114;244
jun-15;2;2015;Ny Højen;6;10;60;23;53;121;52;15;340;14;20;51;37;53;110;62;7;354;694
jun-15;2;2015;Nørup;4;13;54;27;48;108;58;15;327;17;13;46;35;50;104;55;9;329;656
jun-15;2;2015;Skibet;38;44;209;78;151;374;153;14;1061;24;53;216;78;122;352;147;16;1008;2069
jun-15;2;2015;Skærup;9;12;34;21;39;98;41;4;258;15;9;24;22;39;91;46;1;247;505
jun-15;2;2015;Smidstrup;6;18;65;23;67;121;37;36;373;8;19;73;29;65;129;37;17;377;750
jun-15;2;2015;Thyregod;20;26;108;64;121;210;84;34;667;29;26;99;60;135;225;88;20;682;1349
jun-15;2;2015;Vandel;11;15;57;34;65;130;47;19;378;15;10;50;37;71;137;57;12;389;767
jun-15;2;2015;Vejle;803;937;3355;2943;4980;8948;4124;1558;27648;927;963;3471;2974;5262;8554;3498;890;26539;54187
jun-15;2;2015;Vonge;10;5;50;30;48;100;45;10;298;9;7;32;32;54;118;40;6;298;596
jun-15;2;2015;Ødsted;23;29;116;43;128;239;102;28;708;30;39;118;51;110;254;96;18;716;1424
sep-15;3;2015;Andkær;4;4;24;12;29;66;11;2;152;3;5;31;17;24;66;17;5;168;320
sep-15;3;2015;Assendrup;1;;8;7;9;28;16;2;71;;;17;12;11;27;18;4;89;160
sep-15;3;2015;Bredal;14;14;62;10;59;110;32;8;309;5;25;67;21;49;118;25;5;315;624
sep-15;3;2015;Bredsten;23;32;153;51;112;291;117;58;837;20;27;179;63;97;292;115;35;828;1665
sep-15;3;2015;Brejning/Kellers Park;43;39;204;95;203;524;213;44;1.365;35;61;235;97;183;524;217;32;1.384;2.749
sep-15;3;2015;Børkop;104;117;454;167;475;839;390;116;2.662;127;166;501;166;449;784;328;83;2.604;5.266
sep-15;3;2015;Egtved;33;31;139;62;170;359;229;140;1.163;23;42;156;80;171;381;204;75;1.132;2.295
sep-15;3;2015;Engum;1;;5;5;7;23;4;3;48;3;1;12;9;7;23;5;2;62;110
sep-15;3;2015;Gadbjerg;20;15;59;18;55;116;48;24;355;18;10;44;20;73;127;57;19;368;723
sep-15;3;2015;Give;59;87;274;166;330;755;455;192;2.318;64;69;311;191;326;706;381;123;2.171;4.489
sep-15;3;2015;Givskud;10;16;34;30;44;97;52;19;302;17;9;43;21;59;106;54;12;321;623
sep-15;3;2015;Gl. Højen;1;2;6;3;7;12;6;;37;1;2;6;1;10;9;7;1;37;74
sep-15;3;2015;Gravens/Ågård;15;23;91;42;86;231;95;38;621;12;25;130;65;90;251;93;24;690;1311
sep-15;3;2015;Grejs;22;21;105;42;72;179;83;14;538;18;26;111;43;67;169;68;14;516;1054
sep-15;3;2015;Gårslev;20;15;75;41;80;188;93;19;531;15;34;85;39;71;192;100;15;551;1082
sep-15;3;2015;Hornstrup Mølleby;1;;5;3;9;15;8;1;42;3;2;7;3;4;21;8;;48;90
sep-15;3;2015;Jelling;45;48;284;169;255;548;263;127;1.739;48;65;275;183;205;569;226;72;1.643;3.382
sep-15;3;2015;Jerlev;11;17;56;23;55;117;53;10;342;12;18;41;31;58;115;58;5;338;680
sep-15;3;2015;Kirkeby;1;2;10;1;9;23;10;1;57;1;3;8;3;8;25;12;;60;117
sep-15;3;2015;Langelund-Grønbjerg;4;7;20;11;21;59;19;;141;4;5;21;16;31;65;24;4;170;311
sep-15;3;2015;Nr. Vilstrup;2;7;21;5;20;42;28;3;128;5;3;15;5;18;45;24;3;118;246
sep-15;3;2015;Ny Højen;6;10;60;25;52;119;52;15;339;13;20;51;37;50;111;61;7;350;689
sep-15;3;2015;Nørup;6;13;55;28;52;106;56;17;333;18;16;47;34;59;107;56;8;345;678
sep-15;3;2015;Skibet;32;46;204;76;153;375;151;17;1.054;25;50;217;78;118;351;152;17;1.008;2.062
sep-15;3;2015;Skærup;9;10;36;20;40;95;44;3;257;12;11;25;18;41;88;47;1;243;500
sep-15;3;2015;Smidstrup;8;14;66;23;66;121;36;38;372;11;15;75;28;65;129;39;17;379;751
sep-15;3;2015;Thyregod;19;26;107;58;120;207;83;33;653;28;26;98;58;135;225;90;19;679;1332
sep-15;3;2015;Vandel;10;17;61;26;69;129;48;19;379;17;12;54;32;70;140;55;12;392;771
sep-15;3;2015;Vejle;803;947;3.348;2.942;5.022;8.983;4.145;1.56;27.75;899;958;3.507;3.017;5.311;8.578;3.52;898;26.688;54.438
sep-15;3;2015;Vonge;9;6;47;31;51;100;43;12;299;9;6;30;29;57;115;40;7;293;592
sep-15;3;2015;Ødsted;21;29;117;47;123;241;102;28;708;28;37;119;56;109;258;96;18;721;1429
sep-15;3;2015;Landområde;297;380;1.584;829;1.507;3.781;1.206;241;9.825;312;381;1.594;1.072;1.624;4.26;1.438;282;10.963;20.788
dec-15;4;2015;Andkær;4;3;23;13;28;64;12;2;149;4;4;30;15;24;66;17;3;163;312
dec-15;4;2015;Assendrup;1;;7;7;10;29;15;2;71;;;17;11;11;28;18;4;89;160
