,city,totalcitypop,latitude,longitude,year_quarter
0,Vejle,54525.0,55.700005700000006,9.533323800000002,2015_1
1,Vejle,54647.0,55.700005700000006,9.533323800000002,2015_2
2,Vejle,54937.0,55.700005700000006,9.533323800000002,2015_3
3,Vejle,55176.0,55.700005700000006,9.533323800000002,2015_4
4,Vejle,55490.0,55.700005700000006,9.533323800000002,2016_1
5,Vejle,55694.0,55.700005700000006,9.533323800000002,2016_2
6,Vejle,56024.0,55.700005700000006,9.533323800000002,2016_3
7,Vejle,56227.0,55.700005700000006,9.533323800000002,2016_4
8,Vejle,56364.0,55.700005700000006,9.533323800000002,2017_1
9,Vejle,56526.0,55.700005700000006,9.533323800000002,2017_2
10,Vejle,56760.0,55.700005700000006,9.533323800000002,2017_3
11,Vejle,56960.0,55.700005700000006,9.533323800000002,2017_4
12,Vejle,57064.0,55.700005700000006,9.533323800000002,2018_1
13,Vejle,57232.0,55.700005700000006,9.533323800000002,2018_2
14,Vejle,57269.0,55.700005700000006,9.533323800000002,2018_3
15,Vejle,57467.0,55.700005700000006,9.533323800000002,2018_4
16,Vejle,57869.075000000004,55.700005700000006,9.533323800000002,2019_1
17,Vejle,58071.59852941177,55.700005700000006,9.533323800000002,2019_2
18,Vejle,58274.12205882353,55.700005700000006,9.533323800000002,2019_3
19,Vejle,58476.6455882353,55.700005700000006,9.533323800000002,2019_4
0,Andkær,322.0,55.6654294,9.6286003,2015_1
1,Andkær,322.0,55.6654294,9.6286003,2015_2
2,Andkær,319.0,55.6654294,9.6286003,2015_3
3,Andkær,311.0,55.6654294,9.6286003,2015_4
4,Andkær,310.0,55.6654294,9.6286003,2016_1
5,Andkær,315.0,55.6654294,9.6286003,2016_2
6,Andkær,316.0,55.6654294,9.6286003,2016_3
7,Andkær,316.0,55.6654294,9.6286003,2016_4
8,Andkær,315.0,55.6654294,9.6286003,2017_1
9,Andkær,309.0,55.6654294,9.6286003,2017_2
10,Andkær,317.0,55.6654294,9.6286003,2017_3
11,Andkær,311.0,55.6654294,9.6286003,2017_4
12,Andkær,304.0,55.6654294,9.6286003,2018_1
13,Andkær,311.0,55.6654294,9.6286003,2018_2
14,Andkær,309.0,55.6654294,9.6286003,2018_3
15,Andkær,303.0,55.6654294,9.6286003,2018_4
16,Andkær,305.5,55.6654294,9.6286003,2019_1
